C,rho,l0,lmax,J,n,seed,steps,seconds,valid,unique,valid_novel,viol,novel_rate,qed,run_name
0.0100503,0.3,2.0,8.0,4,4,1,64,1085,88,88,82,0.06818181818181823,0.9318181818181818,0.48860967292225016,adual_iltd_C0.0100503_rho0.3_l02.0_lmax8.0_J4_n4_seed1_steps64
0.0100503,0.3,2.0,7.0,4,4,1,64,1092,88,88,82,0.06818181818181823,0.9318181818181818,0.4902078836704786,adual_iltd_C0.0100503_rho0.3_l02.0_lmax7.0_J4_n4_seed1_steps64
0.0100503,0.3,2.0,5.0,4,4,1,64,1101,88,88,82,0.06818181818181823,0.9318181818181818,0.4891216126244495,adual_iltd_C0.0100503_rho0.3_l02.0_lmax5.0_J4_n4_seed1_steps64
0.0100503,0.3,2.0,6.0,4,4,1,64,1108,88,88,82,0.06818181818181823,0.9318181818181818,0.4902078836704786,adual_iltd_C0.0100503_rho0.3_l02.0_lmax6.0_J4_n4_seed1_steps64
0.0100503,0.3,4.0,12.0,4,4,1,64,1083,15,15,15,0.0,1.0,0.46825808215067305,adual_iltd_C0.0100503_rho0.3_l04.0_lmax12.0_J4_n4_seed1_steps64
0.0100503,0.6,2.0,12.0,4,4,1,64,1089,88,88,86,0.022727272727272707,0.9772727272727273,0.48980432717654765,adual_iltd_C0.0100503_rho0.6_l02.0_lmax12.0_J4_n4_seed1_steps64
0.0010005,0.3,2.0,12.0,4,4,1,64,1096,91,91,83,0.08791208791208793,0.9120879120879121,0.48831769410474457,adual_iltd_C0.0010005_rho0.3_l02.0_lmax12.0_J4_n4_seed1_steps64
0.0010005,0.5,3.0,12.0,6,4,1,64,1331,61,61,59,0.032786885245901676,0.9672131147540983,0.47533454138630316,adual_iltd_C0.0010005_rho0.5_l03.0_lmax12.0_J6_n4_seed1_steps64
0.0100503,1.2,2.0,12.0,4,4,1,64,1080,56,56,53,0.0535714285714286,0.9464285714285714,0.5074029914626789,adual_iltd_C0.0100503_rho1.2_l02.0_lmax12.0_J4_n4_seed1_steps64
0.0100503,1.0,2.0,12.0,4,4,1,64,1085,74,74,70,0.05405405405405406,0.9459459459459459,0.5004228160307452,adual_iltd_C0.0100503_rho1.0_l02.0_lmax12.0_J4_n4_seed1_steps64
0.0100503,0.8,2.0,12.0,4,4,1,64,1098,70,70,68,0.02857142857142858,0.9714285714285714,0.5039914844305454,adual_iltd_C0.0100503_rho0.8_l02.0_lmax12.0_J4_n4_seed1_steps64
