gamma,train_tau,valid,unique,novel,novel_strict,qed_strict,viol_tau_3.0,viol_tau_3.5,viol_tau_4.0,viol_tau_4.5
1,3.0,664,474,179,108,0.4966,0.2380,0.1054,0.0678,0.0482
1,3.5,653,562,208,68,0.4964,0.5391,0.1914,0.0658,0.0291
1,4.0,653,562,222,41,0.4764,0.6631,0.3966,0.1271,0.0444
1,4.5,660,593,264,33,0.5074,0.7697,0.5697,0.3530,0.1045
3,3.0,785,179,146,73,0.4418,0.1350,0.1172,0.1070,0.1032
3,3.5,715,467,162,74,0.4797,0.3315,0.0811,0.0531,0.0448
3,4.0,680,474,148,47,0.4678,0.5088,0.2485,0.0956,0.0676
3,4.5,712,580,198,37,0.4635,0.6503,0.4129,0.1840,0.0576
5,3.0,298,27,181,4,0.4008,0.6644,0.6510,0.5738,0.5604
5,3.5,366,173,98,49,0.4383,0.2240,0.1093,0.0738,0.0656
5,4.0,586,310,97,40,0.4642,0.4096,0.2338,0.1177,0.1041
5,4.5,704,510,174,44,0.4536,0.5497,0.2997,0.1278,0.0355
10,3.0,1,1,1,1,0.6461,0.0000,0.0000,0.0000,0.0000
10,3.5,0,0,0,0,0.0000,nan,nan,nan,nan
10,4.0,3,3,3,0,0.0000,1.0000,0.6667,0.6667,0.3333
10,4.5,386,201,81,29,0.4385,0.3912,0.2047,0.0907,0.0440
